lat,long,tbs-pasto,ur-pasto,tgn-pasto,tpo-pasto,tbs-sombra,ur-sombra,tgn-sombra,tpo-sombra,posicao,local,classe
-8.61960,-36.61310,21628,73327,18200,16760,21294,74626,25234,16626,0,0,2
-8.61960,-36.61310,22369,71541,18200,17110,22154,72382,25744,16973,0,0,2
-8.61960,-36.61310,23400,68537,18200,17461,22274,70873,26353,16756,0,0,2
-8.61945,-36.61307,23400,68537,28593,17461,22274,70873,26353,16756,0,0,0
-8.61950,-36.61310,24219,66106,17938,17699,23232,66546,27358,16678,0,0,4
-8.61950,-36.61310,24412,64083,17938,17412,24171,63184,28023,16751,1,0,4
-8.61950,-36.61310,24412,64083,17938,17412,24171,63184,28023,16751,1,0,4
-8.61970,-36.61310,24581,63868,28593,17522,24074,63790,27875,16810,1,0,3
-8.61945,-36.61307,24944,60809,28593,17119,24243,60257,28023,16073,1,0,0
-8.61970,-36.61310,24944,60809,17891,17119,24243,60257,28023,16073,0,0,3
-8.61960,-36.61310,24581,61519,27235,16953,24171,60367,28023,16033,0,0,2
-8.61958,-36.61296,25162,59765,29265,17061,24653,59592,28394,16284,0,0,2
-8.61959,-36.61296,25162,59765,29265,17061,24653,59592,28394,16284,0,0,2
-8.61958,-36.61298,25598,58967,29265,17266,24968,57125,28543,15915,0,0,2
-8.61963,-36.61310,26573,54388,18200,16935,25744,53038,28891,15475,0,0,2
-8.61957,-36.61301,26573,54388,18200,16935,25744,53038,28891,15475,0,0,2
-8.61934,-36.61317,26622,53826,31153,16821,26012,54024,29165,16012,0,0,3
-8.61967,-36.61333,26769,54321,31714,17098,26134,51753,29165,15452,0,0,2
-8.61967,-36.61338,26769,54321,31714,17098,26134,51753,29165,15452,0,0,4
-8.61957,-36.61344,27235,51815,31586,16800,27850,46769,30419,15443,0,0,2
-8.61956,-36.61296,27776,49774,18200,16676,27431,48459,30066,15616,0,0,2
-8.61961,-36.61293,27776,49774,18200,16676,27431,48459,30066,15616,0,0,2
-8.61947,-36.61308,27308,51123,18200,16660,27702,46553,30117,15236,0,0,2
-8.61945,-36.61307,27727,50121,28593,16738,27014,48374,29865,15207,0,0,0
-8.61946,-36.61309,27727,50121,18200,16738,27014,48374,29865,15207,0,0,2
-8.61954,-36.61302,28097,49687,18200,16944,28543,45024,30849,15479,0,0,2
-8.61960,-36.61299,27751,49514,18200,16572,27284,47261,29916,15091,0,0,2
-8.61960,-36.61298,27751,49514,18200,16572,27284,47261,29916,15091,0,0,2
-8.61960,-36.61299,28147,49275,18200,16859,27530,46367,30142,15017,0,0,2
-8.61959,-36.61298,29040,46764,28593,16860,29215,42239,31179,15089,0,0,0
-8.61958,-36.61301,29040,46764,17891,16860,29215,42239,31179,15089,0,0,3
-8.61959,-36.61299,28742,46532,17891,16510,29165,41759,31179,14866,0,0,3
-8.61954,-36.61304,29015,45979,17938,16572,29615,40339,31357,14731,0,0,4
-8.61957,-36.61300,29015,45979,17938,16572,29615,40339,31357,14731,0,0,4
-8.61958,-36.61300,29740,44231,17153,16622,29240,41597,31179,14873,0,0,1
-8.61951,-36.61308,29590,44148,17891,16457,30268,38649,31765,14649,1,0,3
-8.61933,-36.61320,29590,44148,17938,16457,30268,38649,31765,14649,1,0,4
-8.61939,-36.61328,29040,45427,33469,16406,28891,41185,31103,14406,1,0,4
-8.61963,-36.61337,29115,44486,33678,16147,30243,39545,31765,14982,1,0,2
-8.61978,-36.61329,29115,44486,33678,16147,30243,39545,31765,14982,0,0,2
-8.61963,-36.61326,29389,43993,37151,16221,28493,42398,30798,14499,0,0,2
-8.61956,-36.61303,29840,42760,39234,16182,29665,39761,31433,14552,0,0,2
-8.61934,-36.61320,29840,42760,39234,16182,29665,39761,31433,14552,1,0,3
-8.61934,-36.61312,29365,43366,34045,15973,30293,37820,31919,14335,1,0,4
-8.61937,-36.61311,29215,44170,36851,16125,27825,44908,30217,14789,1,0,4
-8.61938,-36.61311,29215,44170,36851,16125,27825,44908,30217,14789,1,0,4
-8.61939,-36.61311,29640,41945,37261,15699,30293,40615,31765,15444,1,0,4
-8.61932,-36.61315,29490,44924,36335,16639,32021,35675,33001,14954,1,0,4
